"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"omid:br/060800 doi:10.4230/lipics.esa.2021.49","Faster (1+ε)-Approximation For Unsplittable Flow On A Path Via Resource Augmentation And Back","Grandoni, Fabrizio [omid:ra/06802771872 orcid:0000-0002-9676-4931]; Mömke, Tobias [omid:ra/0610110091 orcid:0000-0002-2509-6972]; Wiese, Andreas [omid:ra/066013110 orcid:0000-0003-3705-016X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607163]","Mutzel, Petra [omid:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [omid:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]"
"omid:br/060783 doi:10.4230/lipics.esa.2021.27","All-Pairs Shortest Paths For Real-Weighted Undirected Graphs With Small Additive Error","Chan, Timothy M. [omid:ra/0623096584 orcid:0000-0002-8093-0675]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607118]","Mutzel, Petra [omid:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [omid:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]"
"omid:br/060178","Critical Issues In Social Justice","","","","","","","book series","",""
"omid:br/060375 doi:10.4230/lipics.concur.2020.22","Decidability Of Cutpoint Isolation For Probabilistic Finite Automata On Letter-Bounded Inputs","Bell, Paul [omid:ra/0612046523 orcid:0000-0003-2620-635X]; Semukhin, Pavel [omid:ra/06107883 orcid:0000-0002-7547-6391]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605911]","Konnov, Igor [omid:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [omid:ra/0614082191 orcid:0000-0002-8299-2714]"
"omid:br/060431 doi:10.4230/lipics.concur.2021.4","Nominal Büchi Automata With Name Allocation","Urbat, Henning [omid:ra/0606079 orcid:0000-0002-3265-7168]; Hausmann, Daniel [omid:ra/0615094627 orcid:0000-0002-0935-8602]; Milius, Stefan [omid:ra/0612046190 orcid:0000-0002-2021-1644]; Schröder, Lutz [omid:ra/0624014376 orcid:0000-0002-3146-5906]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606080]","Haddad, Serge [omid:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [omid:ra/0606081]"
"omid:br/060647 doi:10.4230/lipics.ecoop.2020.7","K-LLVM: A Relatively Complete Semantics Of LLVM IR","Li, Liyi [omid:ra/0604384 orcid:0000-0001-8184-0244]; Gunter, Elsa L. [omid:ra/0606745]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606746]","Hirschfeld, Robert [omid:ra/06220110568 orcid:0000-0002-4249-6003]; Pape, Tobias [omid:ra/064027235 orcid:0000-0003-0110-6918]"
"omid:br/060848 doi:10.4230/lipics.fscd.2020.22","Size-Preserving Translations From Order-(n+1) Word Grammars To Order-n Tree Grammars","Asada, Kazuyuki [omid:ra/062602385732 orcid:0000-0001-8782-2119]; Kobayashi, Naoki [omid:ra/0615033524 orcid:0000-0002-0537-0604]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607304]","Zena M. Ariola [omid:ra/0607305]"
"omid:br/060968 doi:10.4230/lipics.icalp.2020.118","A Recipe For Quantum Graphical Languages","Carette, Titouan [omid:ra/0607628]; Jeandel, Emmanuel [omid:ra/0607629]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607630]","Artur Czumaj [omid:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [omid:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [omid:ra/068015430 orcid:0000-0002-1321-4134]"
"omid:br/060459 doi:10.4230/lipics.cp.2021.36","Utilizing Constraint Optimization For Industrial Machine Workload Balancing","Kovács, Benjamin [omid:ra/0606165]; Tassel, Pierre [omid:ra/0606166]; Kohlenbrein, Wolfgang [omid:ra/0606167]; Schrott-Kostwein, Philipp [omid:ra/0606168]; Gebser, Martin [omid:ra/0606169]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606170]","Michel, Laurent D. [omid:ra/0606095 orcid:0000-0001-7230-7130]"
"omid:br/060529 doi:10.4230/lipics.csl.2021.28","Domain Theory In Constructive And Predicative Univalent Foundations","De Jong, Tom [omid:ra/061901603606 orcid:0000-0003-1585-3172]; Escardó, Martín [omid:ra/061901603595 orcid:0000-0002-4091-6334]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606356]","Baier, Christel [omid:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [omid:ra/0624014097 orcid:0000-0001-5879-3304]"
"omid:br/060674 doi:10.4230/lipics.ecrts.2020.16","Discriminative Coherence: Balancing Performance And Latency Bounds In Data-Sharing Multi-Core Real-Time Systems","Hassan, Mohamed [omid:ra/0606820]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606821]","Völp, Marcus [omid:ra/063054017 orcid:0000-0002-8020-4446]"
"omid:br/060101 doi:10.4324/9780203302255 isbn:9780203356159 isbn:9780203302255 doi:10.3109/9780203302255","Malaria In Pregnancy","Fried, Michal [omid:ra/0604254]; Washington, [omid:ra/0604255]; Usa, [omid:ra/0604256]; [omid:ra/0604257]; Walter Reed Army Institute Of Research [omid:ra/06809888476]","","","","","2001-10-18","reference book","Informa Uk Limited [omid:ra/0610116005 crossref:301]","Duffy, Patrick E. [omid:ra/0604258]; Fried, Michael [omid:ra/0604259]; Duffy, Patrick E [omid:ra/06809888477]"
"omid:br/060299 doi:10.4230/lipics.ccc.2020.16","On The Quantum Complexity Of Closest Pair And Related Problems","Aaronson, Scott [omid:ra/0605613]; Chia, Nai-Hui [omid:ra/0605614]; Lin, Han-Hsuan [omid:ra/0605615]; Wang, Chunhao [omid:ra/0605616]; Zhang, Ruizhe [omid:ra/0605617]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605618]","Shubhangi Saraf [omid:ra/0605619]"
"omid:br/060464 doi:10.4230/lipics.cp.2021.44","Enabling Incrementality In The Implicit Hitting Set Approach To MaxSAT Under Changing Weights","Niskanen, Andreas [omid:ra/0616087193 orcid:0000-0003-3197-2075]; Berg, Jeremias [omid:ra/0626092024 orcid:0000-0001-7660-8061]; Järvisalo, Matti [omid:ra/061409245 orcid:0000-0003-2572-063X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606185]","Michel, Laurent D. [omid:ra/0606095 orcid:0000-0001-7230-7130]"
